Tên,Giá,RAM,SSD
Acer Swift Go 14 41 R251 R5 7430U (NX.KG3SV.005),16.290.000₫,N/A,N/A
Asus Gaming Vivobook K3605ZU i5 12500H (RP296W),22.690.000₫,N/A,N/A
Dell Inspiron 15 3530 i7 1355U (N3530-i7U161W11BLU-FP),21.990.000₫,N/A,N/A
GIGABYTE A16 GA6H i5 13420H (GAMING-A16-CMHH2VN893SH),23.390.000₫,N/A,N/A
Lenovo ThinkBook 14 Ultra 7 155U (21MR0072VN),25.090.000₫,N/A,N/A
MSI Venture A15 AI A2HMG R7 260 (003VN),19.690.000₫,N/A,N/A
HP OmniBook UF 14 fh0095TU Ultra 9 288V (BZ7S2PA),52.290.000₫,N/A,N/A
Asus Vivobook 15 OLED A1505VA i5 13500H (L1341W),16.190.000₫,N/A,N/A
Asus Zenbook 14 UX3405CA Ultra 9 285H (PZ204WS),35.290.000₫,N/A,N/A
HP VICTUS 15 fb3116AX R7 7445HS (BX8U4PA),22.690.000₫,N/A,N/A
HP Pavilion 15 eg2082TU i5 1240P (7C0Q5PA),14.690.000₫,N/A,N/A
Acer Aspire 5 A515 58M 79R7 i7 13620H (NX.KQ8SV.007),15.990.000₫,N/A,N/A
Dell Inspiron 14 5440 i5 1334U (NDY5V1),19.990.000₫,N/A,N/A
Lenovo IdeaPad Slim 5 OLED 14IRH10R Core 5 210H (83J0006CVN),24.090.000₫,N/A,N/A
Lenovo IdeaPad Slim 5 OLED 14IRH10R Core 5 210H (83J0006EVN),20.990.000₫,N/A,N/A
Dell G15 5530 i7 13650HX (i7HX161W11GR4060),36.190.000₫,N/A,N/A
Acer Gaming Nitro V 15 ProPanel ANV15 41 R7CR R5 7535HS (NH.QPESV.003),24.990.000₫,N/A,N/A
MSI Gaming Katana 15 HX B14WFK i7 14650HX (267VN),38.190.000₫,N/A,N/A
Acer Gaming Nitro V 15 ProPanel ANV15 52 59AA i5 13420H (NH.QZ9SV.002),27.590.000₫,N/A,N/A
HP 240 G10 i5 1335U (9H2E4PT),15.990.000₫,N/A,N/A
GIGABYTE G6 MF RC56 i7 13620H (9RC56MF0HJIIXIVN000),23.390.000₫,N/A,N/A
Asus Vivobook 15 OLED A1505VA i9 13900H (MA586WS),21.190.000₫,N/A,N/A
Lenovo Gaming LOQ 15AHP10 R7 250 (83JG0047VN),31.690.000₫,N/A,N/A
HP VICTUS 16 r0283TX i5 13500H (AD9T3PA),19.990.000₫,N/A,N/A
Asus Zenbook A14 UX3407QA X1 26 100 (QD299WS),27.990.000₫,N/A,N/A
Dell Inspiron 15 3530 i5 1334U (N3530-i5U165W11SLU),17.490.000₫,N/A,N/A
Dell Inspiron 14 5440 Core 5 120U (N5440-C5U165W11IBD2),24.490.000₫,N/A,N/A
Acer Gaming Nitro V ANV15 51 57B2 i5 13420H (NH.QN8SV.001),21.490.000₫,N/A,N/A
HP Elitebook 630 G10 i7 1355U (9H1N9PT),24.490.000₫,N/A,N/A
MSI Gaming Katana 15 HX B14WFK i7 14650HX (025VN),36.190.000₫,N/A,N/A
Acer Swift Go 14 AI SFG14 73 71ZX Ultra 7 155H (NX.KSLSV.002),24.090.000₫,N/A,N/A
Asus Vivobook S16 S3607VA Core 5 210H (RP155WS),19.290.000₫,N/A,N/A
Dell Inspiron 16 5640 Core 7 150U (KHPF5),26.490.000₫,N/A,N/A
HP Gaming VICTUS 16 s0077AX R7 7840HS (8C5N6PA),21.990.000₫,N/A,N/A
Asus TUF Gaming F16 FX607VJ Core 5 210H (RL035W),22.190.000₫,N/A,N/A
HP Probook 4 G1i 16 Ultra 5 225U (BQ5D4PT),23.990.000₫,N/A,N/A
Acer Swift Lite 14 AI SFL14 51M 56HS Ultra 5 125U (NX.J1HSV.002),18.290.000₫,N/A,N/A
HP Envy X360 14 fc0153TU Ultra 7 155U (AY8V4PA),30.890.000₫,N/A,N/A
Lenovo ThinkBook 14 G7 Ultra 7 155U (21MR0070VN),28.090.000₫,N/A,N/A
MSI Gaming GF63 Thin 12VE i5 12450H (460VN),19.290.000₫,N/A,N/A
Lenovo IdeaPad Slim 5 OLED 14IAH10 Ultra 7 (83NC001AVN),27.190.000₫,N/A,N/A
Acer Aspire Lite AL16 51P 596H i5 1235U (NX.KWZSV.002),12.990.000₫,N/A,N/A
Asus TUF Gaming F16 FX608JHR i7 14650HX (RV037W),35.690.000₫,N/A,N/A
HP OmniBook 5 AI 16 af1048TU Ultra 5 225U (BZ7Q9PA),22.990.000₫,N/A,N/A
HP 15 fd1037TU Core 7 150U (9Z2W5PA),21.090.000₫,N/A,N/A
Dell G15 5530 i9 13900HX (i9HX161W11GR4060),40.190.000₫,N/A,N/A
HP Probook 4 G1i 16 Ultra 7 255U (BQ5E1PT),28.490.000₫,N/A,N/A
MSI Gaming GF63 Thin 12UC i7 12650H (887VN),18.690.000₫,N/A,N/A
GIGABYTE A16 GA6H i7 13620H (GAMING-A16-CMHI2VN893SH),25.390.000₫,N/A,N/A
Lenovo ThinkPad X9 15 Ultra 5 228V (21Q60050VN),47.390.000₫,N/A,N/A
Lenovo Legion 5 15IAX10 Ultra 7 255HX (83F0003CVN),48.990.000₫,N/A,N/A
Acer Swift AI SF14 51 53P9 Ultra 5 226V (NX.J2KSV.002),30.590.000₫,N/A,N/A
Acer Aspire 5 A514 56P 54TN i5 1335U (NX.KHRSV.004),11.290.000₫,N/A,N/A
Lenovo ThinkBook 16 G7 Ultra 7 155U (21MS007HVN),28.390.000₫,N/A,N/A
HP Pavilion 15 eg3094TU i5 1335U (8C5L5PA),16.290.000₫,N/A,N/A
Asus Zenbook 14 OLED UX3405MA Ultra 5 125H,25.990.000₫,N/A,N/A
Asus Vivobook 16 M1607KA R7 AI 350 (MB091WS),20.490.000₫,N/A,N/A
HP Gaming VICTUS 16 r0130TX i5 13500H (8C5N5PA),19.990.000₫,N/A,N/A
Dell Inspiron 14 5441 X1P 64 100 (N4O10441W1),28.990.000₫,N/A,N/A
MSI Prestige 13 AI Evo A1MG Ultra 7 155H (062VN),33.090.000₫,N/A,N/A
Lenovo Yoga Slim 7 15ILL9 Ultra 7 258V (83HM000GVN),38.990.000₫,N/A,N/A
HP EliteBook 6 G1i 13 Ultra 5 225U (BQ9L8PT),25.490.000₫,N/A,N/A
Asus Vivobook S14 S3407CA Ultra 7 255H (LY096WS),23.990.000₫,N/A,N/A
HP EliteBook 635 Aero G11 R7 8840HS (B91D3PT),27.190.000₫,N/A,N/A
Dell Inspiron 15 3530 i7 1355U (N5I7301W1),20.990.000₫,N/A,N/A
GIGABYTE G6 KF RC56 i7 13620H (9RC56KF0HJIIXIVN000),25.390.000₫,N/A,N/A
HP Gaming VICTUS 16 s0078AX R5 7640HS (8C5N7PA),19.690.000₫,N/A,N/A
Lenovo Ideapad Slim 3 OLED 14IRH10 i5 13420H (83K0000BVN),18.190.000₫,N/A,N/A
Lenovo Ideapad 1 15ALC7 R7 5700U (82R400C1VN),14.290.000₫,N/A,N/A
MSI Gaming Katana A15 AI B8VG R7 8845HS (465VN),35.110.000₫,N/A,N/A
HP EliteBook 6 G1i 13 Ultra 7 255U (BQ9M6P),29.490.000₫,N/A,N/A
Dell Inspiron 14 5440 Core 7 150U (N4I7204W1),24.490.000₫,N/A,N/A
Asus Vivobook S 16 M5606KA R7 AI 350 (RI016WS),26.990.000₫,N/A,N/A
Acer Nitro V 16 ProPanel ANV16 41 R6ZY R5 8645HS (NH.QP2SV.002),24.290.000₫,N/A,N/A
HP Pavilion 15 eg2088TU i7 1260P (7C0R0PA),19.190.000₫,N/A,N/A
GIGABYTE AERO X16 R7 AI 350 (GIGABYTE-AERO-X161VH93VNC64AH),35.990.000₫,N/A,N/A
Lenovo V15 G5 IRL Core 5 120U (83HF0000VN),17.990.000₫,N/A,N/A
MSI Modern 14 C13M i5 1335U (611VN),14.690.000₫,N/A,N/A
Lenovo IdeaPad Slim 3 14IRH10 i7 13620H (83K00007VN),18.990.000₫,N/A,N/A
Lenovo Yoga Slim 7 OLED 14ILL10 Ultra 7 258V (83JX0037VN),35.990.000₫,N/A,N/A
Lenovo Gaming LOQ 15ARP9 R5 7235HS (83JC00M3VN),23.190.000₫,N/A,N/A
Acer Gaming Nitro V 15 ProPanel ANV15 41 R9M1 R5 7535HS (NH.QPFSV.004),21.690.000₫,N/A,N/A
Dell Gaming Alienware 16 Aurora AC16250 Core 7 240H (C7H321W11II5060),43.490.000₫,N/A,N/A
HP Envy X360 14 fa0047AU R7 8840HS (A19BPPA),30.790.000₫,N/A,N/A
Dell Inspiron 15 3530 i5 1334U (N5I5340W1),17.490.000₫,N/A,N/A
Asus Zenbook 14 UX3405CA Ultra 7 255H (PZ368WS),31.490.000₫,N/A,N/A
HP Elitebook 635 Aero G11 R7 8840HS (A8WS7PT),25.790.000₫,N/A,N/A
HP Gaming OMEN 16 am0127TX i9 14900HX (BX8Y0PA),56.690.000₫,N/A,N/A
Asus Vivobook S 14 S5406SA Ultra 5 226V (PP060WS),22.590.000₫,N/A,N/A
Acer Gaming Nitro AN515 58 773Y i7 12700H (NH.QFKSV.001.16G),33.190.000₫,N/A,N/A
MSI Prestige 14 AI Studio C1UDXG Ultra 7 155H (058VN),29.190.000₫,N/A,N/A
Asus TUF Gaming F15 FX507ZC4 i5 12500H (HN229W),21.390.000₫,N/A,N/A
Asus Zenbook 14 OLED UX3402VA i5 13500H (KM657W),23.190.000₫,N/A,N/A
HP Probook 450 G10 i7 1355U (9H8H1PT),23.190.000₫,N/A,N/A
HP Envy X360 14 fa0050AU R5 8640HS (A29H8PA),25.190.000₫,N/A,N/A
Dell Inspiron 15 3530 i7 1355U (71043888),20.990.000₫,N/A,N/A
MSI Prestige 14 AI Studio C1VEG Ultra 7 155H (056VN),35.090.000₫,N/A,N/A
GIGABYTE A16 GA6H i5 13420H (GAMING-A16-CTHH3VN893SH),26.990.000₫,N/A,N/A
Asus Zenbook 14 OLED UX3405MA Ultra 7 155H (PP152W),28.690.000₫,N/A,N/A
HP OMEN 16 xf0071AX R7 7840HS (8W946PA),45.190.000₫,N/A,N/A
Dell Latitude 3450 i5 1335U (L3450-1335U-16512W),18.590.000₫,N/A,N/A
MSI Prestige 14 AI+ Evo C2VMG Ultra 7 258V (020VN),35.690.000₫,N/A,N/A
Asus Zenbook S 14 UX5406SA Ultra 7 258V (PV140WS),41.990.000₫,N/A,N/A
Lenovo IdeaPad Slim 3 15IRH10 i7 13620H (83K1000JVN),19.990.000₫,N/A,N/A
Lenovo Legion 5 15IAX10 Ultra 7 255HX (83F0003BVN),53.990.000₫,N/A,N/A
Asus TUF Gaming F15 FX507VV i7 13620H (LP151W),28.690.000₫,N/A,N/A
Dell Inspiron 15 3530 i7 1355U (71026454),20.990.000₫,N/A,N/A
HP 15 fd1039TU Core 7 150U (9Z2W7PA),20.090.000₫,N/A,N/A
Asus TUF Gaming F16 FX608JMR i7 14650HX (RV048W),37.690.000₫,N/A,N/A
GIGABYTE A16 GA6H i7 13620H (GAMING-A16-CVHI3VN893SH),31.590.000₫,N/A,N/A
HP OmniBook X 14 fe1010QU X1P 42 100 (B53KBPA),28.490.000₫,N/A,N/A
Lenovo ThinkPad T14s Ultra 7 255H (21R1000AVN),43.590.000₫,N/A,N/A
MSI Gaming Katana 15 HX B14WEK i5 14450HX (286VN),30.690.000₫,N/A,N/A
Dell Vostro 3530 i5 1335U (80GG93),17.490.000₫,N/A,N/A
Asus Vivobook 15 X1504ZA i5 1235U (NJ1608W),13.690.000₫,N/A,N/A
Lenovo ThinkPad X9 15 Ultra 7 258V (21Q60054VN),54.890.000₫,N/A,N/A
GIGABYTE AORUS MASTER 16 Ultra 9 275HX (AORUS-MASTER-16-BYHC5VNE64SH),84.890.000₫,N/A,N/A
Dell Gaming Alienware 16 Aurora AC16250 Core 7 240H (C7H161W11II5050),37.290.000₫,N/A,N/A
Dell Latitude 7350 Ultra 5 135U (L7350-135U-16512W),32.290.000₫,N/A,N/A
Asus Gaming V16 V3607VH Core 5 210H (RP084W),27.390.000₫,N/A,N/A
Asus Vivobook 16 A1607QA X1 26 100 (MB067WS),15.990.000₫,N/A,N/A
Lenovo Yoga Slim 9 OLED 14ILL10 Ultra 7 258V (83CX001AVN),56.990.000₫,N/A,N/A
Dell Vostro 15 3520 i5 1235U (V3520-i5U165W11GRU),15.990.000₫,N/A,N/A
Asus Zenbook DUO UX8406CA Ultra 9 285H (PZ109WS),57.990.000₫,N/A,N/A
Lenovo IdeaPad Slim 3 14IRH10 i5 13420H (83K00008VN),15.790.000₫,N/A,N/A
Asus Gaming V16 V3607VH Core 5 210H (RP024W),27.390.000₫,N/A,N/A
MSI Creator M16 HX C14VFG i7 14700HX (040VN),45.190.000₫,N/A,N/A
Dell Inspiron 16 5640 Core 7 150U (N6I7512W1),31.290.000₫,N/A,N/A
Dell Inspiron 15 3530 i5 1334U (71043885),17.490.000₫,N/A,N/A
Asus TUF Gaming F15 FX507ZC4 i7 12700H (HN181W),22.890.000₫,N/A,N/A
Asus Vivobook S 14 S5406SA Ultra 7 258V (PP059WS),31.490.000₫,N/A,N/A
Asus Vivobook 14 A1407CA Ultra 5 225H (LY008WS),19.690.000₫,N/A,N/A
Lenovo Legion Pro 7 16IAX10H Ultra 9 275HX (83F5008WVN),96.990.000₫,N/A,N/A
Dell Inspiron 7440 Core 5 120U (N4I5006W1),27.890.000₫,N/A,N/A
Dell Inspiron 14 5441 X1P 64 100 (5MNK1),27.490.000₫,N/A,N/A
Asus Vivobook S 14 OLED S5406MA Ultra 5 125H (PP136W),24.690.000₫,N/A,N/A
Lenovo Legion 5 Pro 16IAX10 Ultra 9 275HX (83F3003VVN),53.990.000₫,N/A,N/A
Asus Gaming V16 V3607VM Core 7 240H (RP044W),35.190.000₫,N/A,N/A
Dell Gaming Alienware 16 Aurora AC16250 Core 9 270H (C9H321W11II5070),64.490.000₫,N/A,N/A
Dell XPS 13 9350 Ultra 7 258V (PP9H1),65.990.000₫,N/A,N/A
Lenovo ThinkPad X1 Carbon Ultra 5 225H (21NX0038VN),50.990.000₫,N/A,N/A
Lenovo Legion 5 15IRX10 i7 14700HX (83LY00A7VN),38.990.000₫,N/A,N/A
MSI Creator Z17 HX Studio A14VGT i7 14700HX (272VN),70.690.000₫,N/A,N/A
MSI Prestige 16 AI+ B2VMG Ultra 9 288V (016VN),43.890.000₫,N/A,N/A
MSI Prestige 13 AI+ A2VMG Ultra 7 258V (040VN),36.990.000₫,N/A,N/A
Dell Gaming Alienware 16 Aurora AC16250 Core 7 240H (71072937),39.990.000₫,N/A,N/A
MSI Titan 18 HX AI A2XWIG Ultra 9 285HX (090VN),147.190.000₫,N/A,N/A
Lenovo Legion 5 Pro 16IAX10 Ultra 9 275HX (83F3002GVN),59.990.000₫,N/A,N/A
MSI Raider 18 HX AI A2XWIG Ultra 9 285HX (033VN),120.590.000₫,N/A,N/A
MSI Stealth 18 HX AI A2XWIG Ultra 9 275HX (017VN),93.990.000₫,N/A,N/A
MacBook Air 13 inch M4 16GB/256GB Sạc 70W,26.190.000₫,N/A,N/A
MacBook Air 13 inch M1 8GB/256GB,17.190.000₫,N/A,N/A
Acer Aspire Lite 14 AL14 71P 55P9 i5 13500H (NX.D7USV.001),14.890.000₫,N/A,N/A
Lenovo Gaming LOQ 15ARP9 R5 7235HS (83JC00LVVN),22.690.000₫,N/A,N/A
Acer Aspire Lite 15 AL15 42P R50R R5 7430U (NX.D34SV.004),11.690.000₫,N/A,N/A
Lenovo Gaming LOQ 15IRX9 i5 13450HX (83DV01ANVN),25.690.000₫,N/A,N/A
HP VICTUS 15 fb3115AX R7 7445HS (BX9C9PA),24.690.000₫,N/A,N/A
Asus Vivobook S14 S3407VA i7 13620H (LY053W),18.990.000₫,N/A,N/A
Acer Aspire Lite 15 AL15 42P R86Y R7 7730U (NX.D3QSV.003),14.090.000₫,N/A,N/A
Asus Zenbook S16 UM5606KA R7 AI 350 (RK127WS),35.990.000₫,N/A,N/A
Asus Vivobook 15 X1504VA i7 1355U (NJ023W),18.390.000₫,N/A,N/A
MacBook Air 13 inch M4 32GB/256GB,34.990.000₫,N/A,N/A
Samsung Galaxy Chromebook Go XE340XDA N4500,8.790.000₫,N/A,N/A
Samsung Galaxy Chromebook Go XE310XDA N4500,7.890.000₫,N/A,N/A
MacBook Pro 14 inch Nano M4 Max 36GB/1TB,79.790.000₫,N/A,N/A
MacBook Air 13 inch M4 24GB/512GB,35.490.000₫,N/A,N/A
Asus Zenbook 14 UM3406KA R7 AI 350 (PP590WS),30.490.000₫,N/A,N/A
Dell Vostro 3520 i5 1235U (71030559),15.990.000₫,N/A,N/A
Dell Inspiron 15 3530 i5 1334U (P16WD2),17.490.000₫,N/A,N/A
HP Elitebook X360 830 G11 Ultra 7 165U (A7RC0PT),44.390.000₫,N/A,N/A
MacBook Air 13 inch M2 24GB/512GB,29.490.000₫,N/A,N/A
Asus Zenbook 14 UM3406KA R7 AI 350 (PP113WS),27.490.000₫,N/A,N/A
HP OmniBook UF 14 fh0097TU Ultra 7 258V (BZ7S3PA),49.390.000₫,N/A,N/A
Lenovo Gaming Legion 7 16IAX10 Ultra 9 275HX (83KY001VVN),68.990.000₫,N/A,N/A
Lenovo Gaming Legion 5 15AHP10 R7 260 (83M00030VN),41.990.000₫,N/A,N/A
HP Probook 4 G1i 16 Ultra 7 255H (BQ5E6PT),29.990.000₫,N/A,N/A
Asus Vivobook S16 S3607CA Ultra 5 225H (SH082WS),22.990.000₫,N/A,N/A
HP Elitebook X360 830 G11 Ultra 5 135U (A7RB9PT),39.990.000₫,N/A,N/A
MacBook Pro 14 inch Nano M4 16GB/512GB,41.690.000₫,N/A,N/A
GIGABYTE AORUS 16X X6LAG i7 14650HX (9RX6LASGDDJIXDVN010),35.890.000₫,N/A,N/A
Acer Predator Helios 18 AI PH18 73 98AQ Ultra 9 275HX (NH.QVWSV.001),149.990.000₫,N/A,N/A
HP Elitebook Ultra G1q X1E 78 100 (B4PY1PT),43.590.000₫,N/A,N/A
GIGABYTE G6X 9KG C6LG i7 13650HX (9RC6L9KGHSJIX1VN000),31.390.000₫,N/A,N/A
Asus ROG Strix G615JMR i7 14650HX (S5155W),43.690.000₫,N/A,N/A
Lenovo Gaming Legion 7 16IAX10 Ultra 9 275HX (83KY001UVN),62.990.000₫,N/A,N/A
HP OMEN Transcend 14 fb0135TX Ultra 7 155H (AY8V1PA),57.790.000₫,N/A,N/A
MSI Vector 16 HX AI A2XWIG Ultra 9 275HX (062VN),70.590.000₫,N/A,N/A
Acer Predator Helios 18 AI PH18 73 93P0 Ultra 9 275HX (NH.QVYSV.001),99.990.000₫,N/A,N/A
MSI Prestige 16 AI+ Mercedes AMG B2VMG Ultra 9 288V (088VN),49.990.000₫,N/A,N/A
MSI Stealth A16 Mercedes AMG AI+ A3XWGG R9 AI HX 370 (032VN),78.490.000₫,N/A,N/A
Lenovo IdeaPad Slim 5 OLED 14IAH10 Ultra 5 225H (83NC001VVN),23.990.000₫,N/A,N/A
Lenovo IdeaPad Slim 5 OLED 14IAH10 Ultra 7 225H (83NC001WVN),28.990.000₫,N/A,N/A
Lenovo Yoga Slim 7 OLED 14ILL10 Ultra 7 258V (83JX0081VN),35.990.000₫,N/A,N/A
Lenovo ThinkPad X1 2in1 Gen 10 Ultra 7 255U (21Q0003JVN),61.590.000₫,N/A,N/A
Lenovo Gaming Legion 5 15IRX10 i7 14700HX (83LY004GVN),49.990.000₫,N/A,N/A
Lenovo Gaming Legion 5 15AHP10 R7 260 (83M0002YVN),38.990.000₫,N/A,N/A
Asus ROG Strix G16 G615JPR i7 14650HX (S5107W),49.190.000₫,N/A,N/A
GIGABYTE Gaming AERO X16 R7 AI 350 (GIGABYTE-AERO-X16-1VH93VNC94DH),36.590.000₫,N/A,N/A
HP Probook 4 G1i 16 Ultra 5 225H (BQ5D8PT),25.990.000₫,N/A,N/A
HP EliteBook 6 G1i 13 Ultra 5 225U (BQ9M3PT),26.490.000₫,N/A,N/A
HP EliteBook 6 G1i 13 Ultra 7 255U (BQ9Q3PT),30.490.000₫,N/A,N/A
Asus Vivobook S14 M3407KA R7 AI 350 (SF032WS),24.790.000₫,N/A,N/A
Asus Vivobook S16 S3607CA Ultra 7 255H (SH083WS),25.990.000₫,N/A,N/A
